rv,taxon,class,resp,prior
alpha,fia,Intercept,alpharichness,"student_t(5, 0, 2)"
alpha,fia,Intercept,alphaphypa,"student_t(5, 0, 2)"
alpha,fia,Intercept,alphafuncpa,"student_t(5, 0, 2)"
beta,fia,sdcar,betatdsorensenpa,"lognormal(1, 1)"
beta,fia,sdcar,betaphypa,"lognormal(1, 1)"
beta,fia,sdcar,betafuncpa,"lognormal(1, 1)"
beta,fia,Intercept,betatdsorensenpa,"student_t(10, 0, 1)"
beta,fia,Intercept,betaphypa,"student_t(10, 0, 1)"
beta,fia,Intercept,betafuncpa,"student_t(10, 0, 1)"
gamma,fia,Intercept,gammarichness,"student_t(10, 0, 1)"
gamma,fia,Intercept,gammaphypa,"student_t(10, 0, 1)"
gamma,fia,Intercept,gammafuncpa,"student_t(10, 0, 1)"
alpha,bbs,sdcar,alpharichness,"lognormal(1, 1)"
alpha,bbs,sdcar,alphaphypa,"lognormal(1, 1)"
alpha,bbs,sdcar,alphafuncpa,"lognormal(1, 1)"
alpha,bbs,Intercept,alpharichness,"student_t(5, 0, 2)"
alpha,bbs,Intercept,alphaphypa,"student_t(5, 0, 2)"
alpha,bbs,Intercept,alphafuncpa,"student_t(5, 0, 2)"
beta,bbs,sdcar,betatdsorensenpa,"lognormal(1, 1)"
beta,bbs,sdcar,betaphypa,"lognormal(1, 1)"
beta,bbs,sdcar,betafuncpa,"lognormal(1, 1)"
beta,bbs,Intercept,betatdsorensenpa,"student_t(5, 0, 2)"
beta,bbs,Intercept,betaphypa,"student_t(5, 0, 2)"
beta,bbs,Intercept,betafuncpa,"student_t(5, 0, 2)"
gamma,bbs,Intercept,gammarichness,"student_t(5, 0, 2)"
gamma,bbs,Intercept,gammaphypa,"student_t(5, 0, 2)"
gamma,bbs,Intercept,gammafuncpa,"student_t(5, 0, 2)"
